/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : XRD
  Data      : C2-1#1##20260714-132133_100
  File Name : C2-1#1##20260714-132133_100.TXT

# Profile Datafile
          comment             =  
          date & time         = 26-07-14 13:21:33 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 40.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.20000 (mm)  
    Scanning
          drive axis          = Theta-Theta 
          scan range          =   10.000 -   80.000 
          scan mode           = Continuous Scan 
          scan speed          =  10.0000 (deg/min) 
          sampling pitch      =   0.0100 (deg) 
          preset time         =   0.06 (sec) 

# Data      [ Total No. = 7001 ]
  <2Theta>   <   I   >
    10.0000        11
    10.0100        11
    10.0200         9
    10.0300        12
    10.0400        14
    10.0500        13
    10.0600        11
    10.0700        12
    10.0800        12
    10.0900        12
    10.1000        13
    10.1100        11
    10.1200         9
    10.1300        11
    10.1400        14
    10.1500        14
    10.1600        11
    10.1700        13
    10.1800        21
    10.1900        17
    10.2000        12
    10.2100        13
    10.2200        11
    10.2300         9
    10.2400         9
    10.2500        11
    10.2600        13
    10.2700        15
    10.2800        14
    10.2900        15
    10.3000        15
    10.3100        15
    10.3200        16
    10.3300        11
    10.3400         8
    10.3500        12
    10.3600        13
    10.3700        10
    10.3800         9
    10.3900         9
    10.4000        10
    10.4100        13
    10.4200        12
    10.4300        11
    10.4400        10
    10.4500         9
    10.4600         6
    10.4700         5
    10.4800        12
    10.4900        13
    10.5000        11
    10.5100        10
    10.5200        12
    10.5300        16
    10.5400        12
    10.5500        10
    10.5600        14
    10.5700        13
    10.5800        11
    10.5900        12
    10.6000        10
    10.6100        14
    10.6200        19
    10.6300        17
    10.6400        14
    10.6500        13
    10.6600        18
    10.6700        17
    10.6800        10
    10.6900        11
    10.7000        11
    10.7100        11
    10.7200        13
    10.7300        11
    10.7400        12
    10.7500        12
    10.7600        10
    10.7700        11
    10.7800        13
    10.7900        12
    10.8000        11
    10.8100        12
    10.8200        10
    10.8300        10
    10.8400        10
    10.8500        11
    10.8600        15
    10.8700        18
    10.8800        14
    10.8900         8
    10.9000        11
    10.9100        15
    10.9200        13
    10.9300        13
    10.9400        10
    10.9500        12
    10.9600        15
    10.9700        16
    10.9800        13
    10.9900        11
    11.0000        11
    11.0100        11
    11.0200        14
    11.0300        14
    11.0400        13
    11.0500        11
    11.0600        13
    11.0700        14
    11.0800        10
    11.0900        10
    11.1000        12
    11.1100        10
    11.1200         8
    11.1300         8
    11.1400        11
    11.1500        14
    11.1600        14
    11.1700        12
    11.1800        12
    11.1900        11
    11.2000        10
    11.2100        11
    11.2200         9
    11.2300        10
    11.2400        10
    11.2500        10
    11.2600        12
    11.2700        12
    11.2800        11
    11.2900        12
    11.3000        14
    11.3100        10
    11.3200         9
    11.3300         9
    11.3400         8
    11.3500        12
    11.3600        15
    11.3700        10
    11.3800         9
    11.3900        12
    11.4000        12
    11.4100        12
    11.4200         9
    11.4300         8
    11.4400        10
    11.4500         9
    11.4600         9
    11.4700        11
    11.4800        13
    11.4900        12
    11.5000        12
    11.5100        13
    11.5200        11
    11.5300        13
    11.5400        12
    11.5500        10
    11.5600        12
    11.5700        15
    11.5800        15
    11.5900        11
    11.6000        11
    11.6100        13
    11.6200        15
    11.6300        15
    11.6400        14
    11.6500        14
    11.6600        10
    11.6700         7
    11.6800         8
    11.6900         9
    11.7000        10
    11.7100        15
    11.7200        17
    11.7300        12
    11.7400        10
    11.7500        11
    11.7600        11
    11.7700        12
    11.7800        13
    11.7900        15
    11.8000        11
    11.8100        11
    11.8200        12
    11.8300        10
    11.8400         9
    11.8500         9
    11.8600        13
    11.8700        14
    11.8800        13
    11.8900        15
    11.9000        13
    11.9100        11
    11.9200        11
    11.9300         8
    11.9400        10
    11.9500        13
    11.9600        11
    11.9700        11
    11.9800        12
    11.9900        11
    12.0000        11
    12.0100        14
    12.0200        10
    12.0300        10
    12.0400        12
    12.0500        12
    12.0600        13
    12.0700        14
    12.0800        12
    12.0900        13
    12.1000        15
    12.1100        11
    12.1200        11
    12.1300        12
    12.1400        11
    12.1500        12
    12.1600        12
    12.1700        12
    12.1800        12
    12.1900        12
    12.2000        11
    12.2100        10
    12.2200        11
    12.2300        13
    12.2400        11
    12.2500         8
    12.2600        11
    12.2700        14
    12.2800        14
    12.2900        11
    12.3000         8
    12.3100         8
    12.3200         9
    12.3300         8
    12.3400        11
    12.3500        12
    12.3600         9
    12.3700        10
    12.3800        10
    12.3900         9
    12.4000         9
    12.4100         9
    12.4200        11
    12.4300         9
    12.4400         9
    12.4500        14
    12.4600        13
    12.4700        10
    12.4800        10
    12.4900        11
    12.5000        13
    12.5100        13
    12.5200        12
    12.5300        10
    12.5400         7
    12.5500         8
    12.5600        13
    12.5700        10
    12.5800         9
    12.5900        11
    12.6000        14
    12.6100        16
    12.6200        15
    12.6300        14
    12.6400        11
    12.6500        12
    12.6600        10
    12.6700        10
    12.6800        10
    12.6900         8
    12.7000        14
    12.7100        17
    12.7200        14
    12.7300        10
    12.7400         9
    12.7500         9
    12.7600        11
    12.7700        12
    12.7800        11
    12.7900        15
    12.8000        17
    12.8100        13
    12.8200        10
    12.8300        14
    12.8400        11
    12.8500         7
    12.8600         6
    12.8700         7
    12.8800        11
    12.8900         9
    12.9000        13
    12.9100        15
    12.9200        11
    12.9300        10
    12.9400         8
    12.9500         6
    12.9600         9
    12.9700        12
    12.9800        12
    12.9900        10
    13.0000         8
    13.0100        12
    13.0200        14
    13.0300         9
    13.0400         8
    13.0500        10
    13.0600        13
    13.0700        13
    13.0800        12
    13.0900        11
    13.1000        11
    13.1100         9
    13.1200         9
    13.1300         9
    13.1400         9
    13.1500        11
    13.1600        11
    13.1700        12
    13.1800        14
    13.1900        12
    13.2000        11
    13.2100        12
    13.2200         9
    13.2300         8
    13.2400        11
    13.2500        12
    13.2600        13
    13.2700        13
    13.2800        13
    13.2900        15
    13.3000        10
    13.3100         8
    13.3200        11
    13.3300        12
    13.3400        12
    13.3500         9
    13.3600        10
    13.3700        17
    13.3800        13
    13.3900        10
    13.4000        12
    13.4100        12
    13.4200        11
    13.4300        13
    13.4400        13
    13.4500        10
    13.4600        13
    13.4700        14
    13.4800        10
    13.4900         8
    13.5000         8
    13.5100        10
    13.5200        12
    13.5300        11
    13.5400         9
    13.5500         8
    13.5600         8
    13.5700        10
    13.5800        15
    13.5900        12
    13.6000         7
    13.6100         7
    13.6200         6
    13.6300         8
    13.6400        12
    13.6500        10
    13.6600        10
    13.6700        17
    13.6800        15
    13.6900        10
    13.7000        14
    13.7100        12
