/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : XRD
  Data      : sample_03#1##20260715-134336_100
  File Name : sample_03#1##20260715-134336_100.TXT

# Profile Datafile
          comment             =  
          date & time         = 26-07-15 13:43:36 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 40.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.20000 (mm)  
    Scanning
          drive axis          = Theta-Theta 
          scan range          =   10.000 -   80.000 
          scan mode           = Continuous Scan 
          scan speed          =  10.0000 (deg/min) 
          sampling pitch      =   0.0100 (deg) 
          preset time         =   0.06 (sec) 

# Data      [ Total No. = 7001 ]
  <2Theta>   <   I   >
    10.0000        16
    10.0100         9
    10.0200        11
    10.0300        11
    10.0400         8
    10.0500         6
    10.0600        10
    10.0700        13
    10.0800        10
    10.0900         8
    10.1000         7
    10.1100         8
    10.1200        10
    10.1300         8
    10.1400        10
    10.1500        13
    10.1600         8
    10.1700         7
    10.1800        11
    10.1900        12
    10.2000        12
    10.2100        10
    10.2200         8
    10.2300        10
    10.2400        10
    10.2500         9
    10.2600         9
    10.2700        12
    10.2800        11
    10.2900        11
    10.3000        12
    10.3100         9
    10.3200         9
    10.3300        10
    10.3400        10
    10.3500        11
    10.3600        10
    10.3700         9
    10.3800        10
    10.3900         9
    10.4000         7
    10.4100         8
    10.4200        10
    10.4300        11
    10.4400         9
    10.4500        10
    10.4600        13
    10.4700        10
    10.4800         6
    10.4900         7
    10.5000         9
    10.5100         8
    10.5200         8
    10.5300        11
    10.5400        10
    10.5500         8
    10.5600         4
    10.5700         4
    10.5800         7
    10.5900         7
    10.6000        11
    10.6100        12
    10.6200         9
    10.6300         8
    10.6400         6
    10.6500        11
    10.6600        15
    10.6700        14
    10.6800        10
    10.6900         8
    10.7000         9
    10.7100        11
    10.7200        10
    10.7300         8
    10.7400         9
    10.7500        10
    10.7600         7
    10.7700         7
    10.7800         8
    10.7900         6
    10.8000         8
    10.8100         9
    10.8200         8
    10.8300        10
    10.8400        13
    10.8500        13
    10.8600        11
    10.8700         9
    10.8800         8
    10.8900         9
    10.9000        15
    10.9100        16
    10.9200        10
    10.9300        11
    10.9400        14
    10.9500        11
    10.9600         7
    10.9700         6
    10.9800         9
    10.9900        11
    11.0000        11
    11.0100        10
    11.0200        10
    11.0300        10
    11.0400         7
    11.0500         6
    11.0600         9
    11.0700        13
    11.0800        13
    11.0900         9
    11.1000         7
    11.1100         9
    11.1200        13
    11.1300        13
    11.1400         9
    11.1500         9
    11.1600         9
    11.1700         9
    11.1800         9
    11.1900         8
    11.2000        10
    11.2100        10
    11.2200         8
    11.2300         7
    11.2400         8
    11.2500         8
    11.2600         6
    11.2700         7
    11.2800        10
    11.2900         9
    11.3000         9
    11.3100        10
    11.3200        10
    11.3300         9
    11.3400         9
    11.3500        10
    11.3600        10
    11.3700        10
    11.3800        10
    11.3900         9
    11.4000        10
    11.4100         8
    11.4200         8
    11.4300         8
    11.4400        11
    11.4500        12
    11.4600         9
    11.4700        15
    11.4800        18
    11.4900        12
    11.5000        10
    11.5100        13
    11.5200        12
    11.5300         7
    11.5400        10
    11.5500        14
    11.5600        11
    11.5700         9
    11.5800         8
    11.5900         8
    11.6000        10
    11.6100        10
    11.6200        10
    11.6300        10
    11.6400        10
    11.6500         9
    11.6600        10
    11.6700         9
    11.6800         7
    11.6900         7
    11.7000         9
    11.7100        10
    11.7200         9
    11.7300         8
    11.7400         6
    11.7500         7
    11.7600        10
    11.7700        11
    11.7800        11
    11.7900        10
    11.8000         7
    11.8100         9
    11.8200        10
    11.8300         9
    11.8400        12
    11.8500        16
    11.8600        12
    11.8700         5
    11.8800         8
    11.8900        12
    11.9000        10
    11.9100        12
    11.9200        11
    11.9300         5
    11.9400         7
    11.9500        12
    11.9600        12
    11.9700        11
    11.9800        11
    11.9900        10
    12.0000         9
    12.0100         7
    12.0200         7
    12.0300        10
    12.0400         9
    12.0500         7
    12.0600         9
    12.0700         8
    12.0800        10
    12.0900         9
    12.1000         7
    12.1100         7
    12.1200         6
    12.1300         7
    12.1400         8
    12.1500         7
    12.1600         8
    12.1700         7
    12.1800         7
    12.1900        10
    12.2000        10
    12.2100        11
    12.2200        11
    12.2300        14
    12.2400        12
    12.2500         9
    12.2600        11
    12.2700        10
    12.2800         8
    12.2900         9
    12.3000        11
    12.3100         9
    12.3200         8
    12.3300         9
    12.3400         8
    12.3500        10
    12.3600        13
    12.3700        13
    12.3800        11
    12.3900        13
    12.4000        11
    12.4100         7
    12.4200         9
    12.4300        12
    12.4400         9
    12.4500         8
    12.4600         7
    12.4700         5
    12.4800        11
    12.4900        13
    12.5000         9
    12.5100        11
    12.5200        13
    12.5300        11
    12.5400         8
    12.5500         8
    12.5600         8
    12.5700        12
    12.5800        10
    12.5900         4
    12.6000         6
    12.6100         8
    12.6200         7
    12.6300         6
    12.6400         4
    12.6500         6
    12.6600        10
    12.6700        10
    12.6800         8
    12.6900         7
    12.7000         7
    12.7100         9
    12.7200        10
    12.7300         9
    12.7400        10
    12.7500         9
    12.7600         7
    12.7700         7
    12.7800         8
    12.7900         8
    12.8000         9
    12.8100        11
    12.8200        10
    12.8300         8
    12.8400         8
    12.8500         8
    12.8600         8
    12.8700         9
    12.8800         8
    12.8900         9
    12.9000        10
    12.9100        10
    12.9200         9
    12.9300         7
    12.9400         8
    12.9500         9
    12.9600        12
    12.9700        12
    12.9800         7
    12.9900         6
    13.0000         7
    13.0100         7
    13.0200        10
    13.0300         9
    13.0400         7
    13.0500         9
    13.0600         9
    13.0700         7
    13.0800         7
    13.0900         8
    13.1000         8
    13.1100        10
    13.1200        13
    13.1300        10
    13.1400         7
    13.1500         5
    13.1600         7
    13.1700        10
    13.1800         8
    13.1900         8
    13.2000        10
    13.2100         9
    13.2200         7
    13.2300         9
    13.2400         7
    13.2500         6
    13.2600        10
    13.2700         9
    13.2800         8
    13.2900         7
    13.3000         9
    13.3100        12
